Концептуальное положение;"
<br>Задача
<br>Цель
<br>Ресурс
<br>Принцип
<br>Основа
<br>Направление
"
Представление сил и средств защиты информации в виде системы. ;"
"
Список аппаратных средств для защиты информации;"
<br>резервное копирование и удаленное хранение наиболее важных массивов данных в компьютерной системе – на регулярной основе;
<br>дублирование и резервирование всех подсистем сетей, которые имеют значение для сохранности данных;
<br>создание возможности перераспределять ресурсы сети в случаях нарушения работоспособности отдельных элементов;
<br>обеспечение возможности использовать резервные системы электропитания;
<br>обеспечение безопасности от пожара или повреждения оборудования водой;
<br>установка программного обеспечения, которое обеспечивает защиту баз данных и другой информации от несанкционированного доступа.
"
Организационные средства защиты информации;"
<br>разрабатывают внутреннюю документацию, которая устанавливает правила работы с компьютерной техникой и конфиденциальной информацией;
<br>проводят инструктаж и периодические проверки персонала; инициируют подписание дополнительных соглашений к трудовым договорам, где указана ответственность за разглашение или неправомерное использование сведений, ставших известных по работе;
<br>разграничивают зоны ответственности, чтобы исключить ситуации, когда массивы наиболее важных данных находятся в распоряжении одного из сотрудников; организуют работу в общих программах документооборота и следят, чтобы критически важные файлы не хранились вне сетевых дисков;
<br>внедряют программные продукты, которые защищают данные от копирования или уничтожения любым пользователем, в том числе топ-менеджментом организации;
<br>составляют планы восстановления системы на случай выхода из строя по любым причинам.
"
Технологическая безопасность ПО;"
<br>обеспечение устойчивости высоких технологий при осложнениях, возникающих в связи с неблагоприятными тенденциями или конкретными событиями в государстве. 
"
Атака на информационную систему;"
<br>Совокупность преднамеренных действий злоумышленника, направленных на нарушение одного из трех свойств информации — доступности, целостности или конфиденциальности
"
Этапы реализации атак на информационную систему;"
<br>Этап подготовки и сбора информации об объекте атаки.
<br>Этап реализации атаки.
<br>Этап устранения следов и информации об атаковавшем
"
Типы компьютерных атак на информационные системы, поражающие ПО;"
"
Классификация атак на информационную систему по месту возникновения;"
<br>Локальные атаки
<br>Удаленные атаки
"
Локальная вычислительная сеть;"
<br>компьютерная сеть, покрывающая обычно относительно небольшую территорию или небольшую группу зданий
"
Источник локальных атак;"
<br>Пользователи или программы локальной системы
"
Источник удаленных атак;"
<br>Удалённые пользователи, сервисы или приложения
"
Классификация атак на информационную систему по воздействию на информационную систему;"
<br>Активные атаки
<br>Пассивные атаки
"
Цель активной атаки;"
<br>Нарушение деятельности информационной системы без получения информации о системе
"
Цель пассивной атаки;"
<br>Получение информации из системы без нарушения ее целостности
"
Параметры системы защиты информации. ;"
<br>Цели системы
<br>Задачи системы
<br>Входы системы
<br>Выходы системы
<br>Процессы внутри системы, преобразующие входы и выходы
"
Классификация технических каналов утечки информации. ;"
"
Опознавательный;"
<br>Описывающий характеристики объектов
"
Опознавательные демаскирующие признаки;"
<br>внешний вид (цвет, форма, размер)
<br>излучение (светимость, радиоактивность, электро-магнитное излучение)
<br>физические свойства (масса, плотность, вязкость, проводимость)
<br>химические свойства (химический состав, кислотность)
"
Демаскирующие признаки деятельности;"
<br>Последовательность событий или действий составных элементов рассматриваемого объекта и взаимодействующих с ним объектов
"
Деление демаскирующих признаков деятельности по характеристикам объекта;"
<br>Видовые признаки (форма, цвет, размеры, структура поверхности, составные части)
<br>Признаки сигналов (Параметры полей и сигналов, излучаемых объектом)
<br>Признаки веществ
"
Деление демаскирующих признаков по информативности;"
<br>Именные
<br>Прямые
<br>Косвенные
"
Деление демаскирующих признаков по времени проявления;"
<br>Постоянные
<br>Периодические
<br>Эпизодические
"
Односторонняя функция;"
<br>математическая функция, которая легко вычисляется для любого входного значения, но трудно найти аргумент по заданному значению функции
"
Примеры односторонней функции;"
<br>Умножение и факторизация
<br>Возведение в квадрат и извлечение квадратного корня по модулю
"
Функция с секретом ;"
<br>Односторонняя функция, обладающая свойством, благодаря которому становится возможным найти исходное значение
"
Примеры функции с секретом;"
<br>RSA(Вычисление двух простых чисел из результата)
<br>Функция Рабина (Функция от модуля в квадрате перемножения простых чисел)
"
Псевдослучайный генератор ;"
<br> Алгоритм, порождающий последовательность чисел, элементы которой почти независимы друг от друга и подчиняются заданному распределению
"
Распределение вероятностей;"
<br>закон, описывающий область значений случайной величины и соответствующие вероятности появления этих значений. 
"
Примеры псевдослучайных генераторов;"
<br>Метод средних квадратов
<br>Линейный конгруэнтный метод
"
Метод средних квадратов ;"
<br>предыдущее случайное число возводится в квадрат, а затем из результата извлекаются средние цифры
"
Криптография;"
<br>искусство передачи информации электронного или иного типа так, чтобы без ключа шифрования считать ее было невозможно
"
Криптографические алгоритмы. ;"
<br>квантовая
<br>симметричная
<br>асимметричная
<br>хеш-функции
<br>примитивы
"
Список примитивов в криптографии;"
<br>подстановки
<br>циклические сдвиги
<br>гаммирование
<br>перестановки
"
Хэширование;"
<br>преобразование первоначального информационного массива той или иной «протяженности» в битовую строчку фиксированной длины (256 бит, 128 бит и так далее).
Симметричный алгоритм шифрования<br>
<br>способ шифрования, в котором для шифрования и расшифрования применяется один и тот же криптографический ключ
"
Принцип асимметричного алгоритма шифрования;"
<br>1 ключ нужен для проверки подлинности сообщения, передачи в открытый канал и зашифровки сообщения
<br>2 ключ нужен для создания сообщения и его дешифровки
"
Средства нейтрализации компьютерных вирусов;"
<br>детекторы;
<br>фаги;
<br>вакцины;
<br>прививки;
<br>ревизоры;
<br>мониторы.
"
Антивирус-детектор;"
<br>Антивирус, сделанный с целью выявления вирусов посредством просмотра исполняемых файлов и поиска устойчивых последовательностей байтов, имеющихся в телах известных вирусов
"
Антивирус-фаг;"
<br>Антивирус-детектор, обладающий способностью «излечивания» инфицированные программы посредством «выкусывания» вирусов из их тел
"
Антивирус-вакцина;"
<br>Детектор, встроенный в программу, показывающий характеристики программы, которые изменил вирус после его внедрения в программу
"
Антивирус-прививка;"
<br>Помечает не зараженные программы признаком, которым вирус помечает зараженные программы с целью избежания повторного заражения
"
Антивирус-ревизор;"
<br>Вакцина, настроенная на сравнение характеристик прошлого запуска программы и нынешнего. Характерики записываются в отдельный файл. Каждый просмотр исполняемых файлов ревизоров требует его повторного запуска
"
Антивирус-монитор;"
<br>резидентная программа, которая обеспечивает перехват потенциально опасных прерываний, характерных вирусов, и запрашивающую у пользователей подтверждение на выполнение операции, следующих за прерыванием
"
Антивирусный комплекс;"
<br>комплекс алгоритмов и программ, нацеленных на контроль и исключение проникновения несанкционированной информации.
"
Примеры использования антивирусных комплексов. ;"
<br>профилактика заражения вирусом
<br>обнаружение вирусов
<br>уничтожение вирусов
"
Электромагнитное излучение;"
<br>распространяющееся в пространстве изменение состояния
"
Наводка электромагнитного излучения;"
<br>Электромагнитная помеха
"
Электромагнитная помеха;"
<br>нежелательное физическое явление или воздействие электрических, магнитных или электромагнитных полей, электрических токов или напряжений внешнего или внутреннего источника, которое нарушает нормальную работу технических средств, или вызывает ухудшение технических характеристик и параметров этих средств
"
;"
"
Побочное электромагнитное излучение;"
<br>вид электромагнитных волн возникающих в результате работы электрических приборов, в частности протекания электрического тока по проводникам
"
Побочное электромагнитное излучение и наводка;"
<br>электромагнитные излучения технических средств обработки защищаемой информации, возникающие как побочное явление и вызванные электрическими сигналами, действующими в их электрических и магнитных цепях, а также электромагнитные наводки этих сигналов на токопроводящие линии, конструкции и цепи питания
"
Требования к условиям проведения измерений побочных электромагнитных излучений;"
<br>Допускаемая погрешность измерителя характеристик ПЭМИН для измеряемого среднеквадратического значения переменного напряжения не должна превышать 1,0 дБ на частотах до 30 МГц, 1,5 дБ на частотах от 30 до 1000 МГц; мощности непрерывного сигнала не более 2,0 дБ на частотах свыше 1 ГГц
"
Методы контроля и прослушивания телефонных каналов связи. ;"
"
Способы подключения для прослушивания телефонных переговоров;"
<br>Параллельное подключение к телефонной линии. В этом случае телефонные радиоретрансляторы труднее обнаруживаются, но требуют внешнего источника питания
<br>Последовательное включение телефонных радиоретрансляторов в разрыв провода телефонной линии. В этом случае питание телефонного радиоретранслятора осуществляется от телефонной линии и в эфир он выходит (т.е. начинает передачу) с момента подъема телефонной трубки абонементом
"
Вредоносная программа;"
<br>ПО, предназначенное для нанесения вреда или эксплуатации программируемого устройства, службы или сети
"
Фишинг;"
<br>взаимодействуете с формой коммуникации, которая напоминает ресурс, которому можно доверять
"
Программа-шпион;"
<br>Программа, устанавливающаяся без согласия пользователя с целью отслеживания поведения в сети, сбора конфиденциальных данных, изменения параметров устройства и ухудшения его производительности
"
Программа для показа рекламы;"
<br>Программа-шпион, целью которой также является показ агрессивной рекламы на экране. Также может вынуждать открывать фишинговые ресурсы
"
Вирус;"
<br>Программа, разработанная с целью вмешательства в нормальную работу устройства путем записи, повреждения или удаления его данных. Также может вынуждать открывать фишинговые ресурсы
"
Эксплойт;"
<br>Программа, созданная с целью использования уязвимостей старого ПО, чтобы загружать загружать туда вредоносное ПО
"
Набор эксплойтов;"
<br>Программа, созданная с целью использования разных типов уязвимостей одновременно, чтобы загружать туда вредоносное ПО
"
Вредоносное ПО без использования файлов;"
<br>Вредоносное ПО, обычно проникающее на устройство через сетевые пакеты и находящееся только в памяти ядра. Такое ПО особенно сложно обнаружить и удалить, так как большинство антивирусов не поддерживает сканирование встроенного ПО
"
Макрос;"
<br>Макрокоманда
"
Макрокоманда;"
<br>Программный алгоритм повторяющихся действий, рассчитанный на обычного пользователя
"
Вредоносный макрос;"
<br>Макрос, созданный с целью причинения вреда
"
Программа-шантажист;"
<br>Вредоносная программа, угрожающая жертве, что удалит его важные данные либо блокируя к ним доступ до тех пор, пока не будет выплачен выкуп или не сделано аналогичное действие
"
rootkit;"
<br>Набор вредоносного ПО, устанавливаемого на взломанной компьютерной системе после получения доступа к правам суперпользователя
"
Атака через цепочку поставок;"
<br>Нацелен на подмену исходного кода приложения вредоносным ПО используя уязвимости сетевых протоколов, инфраструктуры или кода
"
Мошенничество под видом техподдержки;"
<br>Используется доверие к техподдержке с целью установки вредоносного ПО
"
Троянская программа;"
<br>Вредоносная программа, созданная с расчетом на то, что пользователь спутает ее в официальным приложением
"
Нежелательная программа;"
<br>Не вредоносное ПО, мешает пользователю
"
Программа-червь;"
<br>Программа-вирус, имеющая способность копировать себя и автоматичеки распространяться
"
Вирус-майнер;"
<br>Программа, созданная с целью использования мощностей чужого ПО, чтобы майнить криптовалюту 
"
Виды вредоносного ПО и мошенничества, связанного с ПО;"
<br>Фишинг
<br>Программа-шпион
<br>Программа для показа рекламы
<br>Вирус
<br>Эксплойт
<br>Набор эксплойтов
<br>Вредоносное ПО без использования файлов
<br>Вредоносный макрос
<br>Программа-шантажист
<br>rootkit
<br>Атака через цепочку поставок
<br>Мошенничество под видом технической поддержки
<br>Троян
<br>Нежелательная программа
<br>Червь
<br>Вирус-майнер
"
Информация;"
<br>сведения об объектах и явлениях окружающей среды, их параметрах, свойствах и состоянии, которые уменьшают имеющуюся о них степень неопределённости и неполноты знаний
"
Объективность информации;"
<br>Независимость от чьего-либо мнения
"
Полнота информации;"
<br>определяет достаточность данных для принятия решений или для создания новых данных на основе имеющихся
"
Достоверность информации;"
<br>Характеризует соответствие информации истине
"
Адекватность информации;"
<br>Степень соответствия реальному состоянию дел
"
Доступность информации;"
<br>Мера возможности получить данную информацию
"
Актуальность;"
<br>Степень соответствия информации текущему моменту времени
"
Защищенность информации;"
<br>Невозможность несанкционированного доступа к данной информации
"
Эргономичность информации;"
<br>Удобство работы с информацией с точки зрения потребителя
"
Свойства информации;"
<br>Объективность
<br>Полнота
<br>Достоверность
<br>Адекватность
<br>Доступность
<br>Актуальность
<br>Защищенность
<br>Эргономичность
"
Защищаемая информация;"
<br>Информация, являющаяся предметом собственности и подлежащая защите в соответствии с требованиями правовых документов или требованиями, устанавливаемыми собственником информации
"
Государственная тайна;"
<br>установленный законодательством круг сведений, разглашение которых может привести к снижению обороноспособности страны или причинить существенный вред национальной безопасности, экономическим или политическим интересам
"
Персональные данные;"
<br>вся возможная информация, которая либо прямо, либо косвенно относится к определенному физическому лицу
"
Коммерческая тайна;"
<br>Режим конфиденциальности информации, позволяющий её обладателю при существующих или возможных обстоятельствах увеличить доходы, избежать неоправданных расходов, сохранить положение на рынке товаров, работ, услуг или получить иную коммерческую выгоду
"
Автоматизированные системы управления технологическими процессами;"
<br>АСУ ТП
"
АСУ ТП;"
<br>Группа решений технических и программных средств, предназначенных для автоматизации управления технологическим оборудованием на промышленных предприятиях
"
Информация для служебного пользования;"
<br>Документы, содержащие служебную информацию ограниченного распространения, относящуюся к несекретной информации, касающуюся деятельности организации, ограничение на распространение которой диктуется служебной необходимостью
"
Открытый информационный ресурс;"
<br>В связи с открытостью более уязвима к возможным угрозам и попыткам несанкционированного доступа, 
"
Виды защищаемой информации;"
<br>Государственная тайна
<br>Персональные данные
<br>Коммерческая тайна
<br>Автоматизированные системы управления технологическими процессами (АСУ ТП)
<br>Государственные и муниципальные ИС
<br>Информация для служебного пользования
<br>Открытые информационные ресурсы
"
Источники защищаемой информации;"
<br>люди
<br>документы
<br>продукция
<br>измерительные датчики;
<br>интеллектуальные средства обработки информации
<br>черновики и отходы производства
<br>материалы и технологическое оборудование
"
Носители защищаемой информации ;"
<br>Люди
<br>Материальные тела
<br>Поля
<br>Элементарные частицы
"
Имитозащита;"
<br>Защита системы шифровальной связи или другой криптосистемы от навязывания ложных данных
"
Электронная подпись;"
<br>Собственноручная подпись в электронном виде, которой можно подписывать документы
"
Подсистема криптографической системы информации;"
<br>объединяет средства криптографической защиты информации
"
Назначение подсистем криптографической системы;"
<br>обеспечение целостности передаваемой по каналам связи и хранимой информации
<br>имитозащита сообщений, передаваемых по каналам связи (имитозащита– защита системы шифрованной связи от навязывания ложных данных)
<br>скрытие смыслового содержания конфиденциальных сообщений, передаваемых по каналам связи и хранимых на носителях
<br>обеспечение аутентификации источника данных
"
Цель защиты информации от копирования;"
<br>предотвращение возможности несанкционированного копирования цифровых данных, которые хранятся на компьютере или съемном носителе
"
Основа организационного метода защиты информации ;"
<br>Невозможность эксплуатации защищаемой программы без соответствующей технической поддержки со стороны компании-производителя
"
Основа правового метода защиты информации;"
<br>Различные меры ответственности за использование в работе нелицензионных программных продуктов, контрафактных баз данных, взлом системы защиты
"
Основа технического метода защиты;"
<br>ограничение на работу с информацией, разграничение полномочий лиц и их контроль
"
Виды методов защиты программ от несанкционированного копирования;"
<br>Организационные
<br>Правовые
<br>Технические
"
Охранный извещатель;"
<br>Устройство, формирующее определенный сигнал при изменении того или иного контролируемого параметра. 
"
Электроконтактный извещатель;"
<br>Тонкий металлический проводник (фольга, провод), специальным образом закрепленный на защищаемом предмете или конструкции
"
Строительная конструкция;"
<br>Отдельные функциональные элементы в составе зданий или сооружений, в совокупности образующие целостную структуру
"
Способы применения электроконтактных извещателей;"
<br>Защита строительных конструкций от несанкционированного проникновения через них путем нарушения
"
Магнитоконтактный извещатель;"
<br>Герметизированный магнитоуправляемый контакт и магнит в пластмассовом или металлическом немагнитном корпусе
"
Виды охранных извещателей;"
<br>Электроконтактный извещатель
<br>Магнитоконтактный извещатель
"
Пожарный извещатель;"
<br>Техническое средство, воспринимающее начальные признаки возникшего пожара для дальнейшей передачи сигнала в пожарной сигнализации, либо для автономной подачи звукового сигнала
"
Принцип использования охранных, охранно-пожарных и пожарных извещателей;"
<br>определение воздействия на извещатель фактора, сопутствующего обнаруживаемому события;
<br>обработка, формирование электрического сигнала и передача его на приемно контрольное устройство.
"
Принцип построения охранных, охранно-пожарных и пожарных извещателей;"
<br>чувствительный сенсор
<br>схема обработки сигнала
<br>выходное устройство
"
Основные технические средства и системы;"
<br>такие технические средства и системы, которые используются для обработки, хранения и передачи конфиденциальной информации
"
Вспомогательные технические средства и системы;"
<br>Не предназначены для обработки и хранения конфиденциальной информации, но находятся в одном помещении с ОТСС или в специальных помещениях (компьютеры, не задействованные в работе, микроволновые печи, лампы, калькуляторы и т. п.), но в которых также могут быть спрятаны прослушивающие и записывающие устройства.
"
Состав основных и вспомогательных технических средств и систем ;"
<br>Телефоны
<br>Радиосвязь
<br>Охранная и пожарная сигнализация
<br>Оповещение и сигнализация
<br>Контрольно-измерительная аппаратура
<br>Кондиционирование
<br>Проводной радиотрансляционная сеть и прием программ радиовещания и телевидения (абонентские громкоговорители, системы радиовещания, телевизоры и радиоприемники и т.д.)
<br>Электронной оргтехника
<br>Электрочасофикация
"
Операционная система;"
<br>программное обеспечение, управляющее компьютерами (включая микроконтроллеры) и позволяющее запускать на них прикладные программы
"
Прикладное ПО;"
<br>Программа, ориентированная на решение конкретных задач, рассчитанная на взаимодействие с пользователем
"
Интерфейс;"
<br>Совокупность средств сопряжения и связи устройств компьютера, обеспечивающая их эффективное взаимодействие
"
Интерфейсы ОС;"
<br>Совокупность методов, с помощью которых она взаимодействует с пользователем
"
Носитель акустической разведки;"
<br>Акустическая волна в газообразной, жидкой и твердых средах
"
Носитель радиоэлектронной разведки;"
<br>Электромагнитное поле в радиодиапазоне или электрический ток
"
Носитель оптической разведки;"
<br>Электромагнитное поле в видимом и инфракрасном диапазонах
"
Носитель химической разведки;"
<br>Частицы веществ
"
Носитель радиационной разведки;"
<br>Излучения радиоактивных веществ
"
Носитель сейсмической разведки;"
<br>Акустическая волна в земной поверхности
"
Носитель магнитометрической разведки;"
<br>Магнитное поле
"
Классификация технической разведки;"
<br>Акустическая разведка
<br>Радиоэлектронная разведка
<br>Оптическая разведка
<br>Химическая разведка
<br>Радиационная разведка
<br>Сейсмическая разведка
<br>Магнитометрическая разведка
"
Противодействие техническим средствам разведки;"
<br>Совокупность согласованных мероприятий, предназначенных для исключения или существенного затруднения добывания противником охраняемых сведений с помощью технических средств разведки
"
Визуально-оптические приборы. ;"
<br>Приборы, увеличивающие размеры изображения на сетчатке глаза
"
Фотоаппараты. ;"
<br>Устройство регистрации неподвижных изображений
"
Устройство ночного видения;"
<br>Предназначен для значительного улучшения чувствительности глаза наблюдателя при наблюдении за объектами в ночных условиях
"
Телевизионная камера;"
<br>Предназначена для генерации изображения объектов в цветном или монохромном виде с высоким 
<br>качеством в дневных условиях с записью наблюдаемого изображения для проведения последующей обработки записанного изображения и его передачи с использованием современных средств телекоммуникации
"
Тепловизор;"
<br>Система визуализации, чувствительная к средневолновому и длинноволновому инфракрасному излучению
"
Электромагнитные каналы утечки информации ТСПИ;"
<br>электромагнитные или побочные  излучения и наводки (ПЭМИН);
<br>электромагнитные излучения на частотах работы генераторов ВЧ;
<br>излучения на частотах самовозбуждения усилителей низкой частоты.
"
Классификация реализации угроз обеспечения безопасности по цели атаки;"
<br>несанкционированное чтение информации
<br>несанкционированное изменение информации
<br>несанкционированное уничтожение информации
<br>полное или частичное разрушение ОС
"
Классификация реализации угроз обеспечения безопасности по принципу воздействия на операционную систему;"
<br>использование известных (легальных) каналов получения информации; например угроза несанкционированного чтения файла, доступ пользователей к которому определен некорректно, т. е. разрешен доступ пользователю, которому согласно политике безопасности доступ должен быть запрещен;
<br>использование скрытых каналов получения информации; например угроза использования злоумышленником недокументированных возможностей ОС;
<br>создание новых каналов получения информации с помощью программных закладок.
"
Аспекты реализации угроз обеспечения безопасности ОС. ;"
<br>По цели атаки
<br>По принципу воздействия на ОС
<br>По типу используемой злоумышленником уязвимости защиты
<br>По характеру воздействия на операционную систему
"
Разграничение доступа;"
<br>Специальный механизм системы с целью защиты той информации и функций системы, доступ к которым является нежелательным
"
Аудит;"
<br>Процесс регистрации событий, потенциально опасных для системы, в специальной журнале
"
Управление политикой безопасности;"
<br>Процесс подстройки политики безопасности под изменения условий функционирования ОС
"
Криптографическая функция;"
<br>Инструмент, созданный для многогоразового переиспользования с целью защиты большого количества уязвимых данных при хранении и передачи по каналам связи
"
Сетевые функции;"
<br>Инструмент, созданный для многогоразового переиспользования с целью взаимодействия между другими компьютерами, стоящими рядом, а также для доступа в интернет
"
Функции подсистемы защиты ОС;"
<br>Идентификация, Аутентификация
<br>Разграничение доступа
<br>Аудит
<br>Управление политикой безопасности
<br>Криптографические функции
<br>Сетевые функции
"
Закрытый ключ;"
<br>Известен только владельцу сайта. Используется для расшифровки данных, отправленных браузером
"
Открытый ключ;"
<br>Доступен всем. Используется для шифрования данных при обращении браузера к серверу
"
Объект защиты;"
<br>Объект, требующий применения средств и способов для предотвращения возникновения, развития и ликвидации
"
Модель;"
<br>Система, исследование которой служит средством для получения информации о другой системе
"
Принципы моделирования объектов защиты;"
<br>Определение источников с защищаемой информацией и разработка моде­лей материальных объектов защиты
"
Утечка информации;"
<br>Неконтролируемое распространение информации из какой-либо территории, а также из определенного круга лиц, которые имеют доступ к этой информации
"
Канал утечки информации;"
<br>Методы и пути утечки информации из информационной системы
"
СВТ;"
<br>Средство вычислительной техники
"
Защита ПО;"
<br>Комплекс мер, направленных на защиту программного обеспечения от несанкционированного приобретения, использования, распространения, модифицирования, изучения и воссоздания аналогов
"
Локальная программная защита;"
<br>Требование ввода серийного номера (ключа) при установке/запуске. История метода началась, когда приложения распространялись только на физических носителях (к примеру, компакт-дисках). На коробке с диском был напечатан серийный номер, подходящий только к данной копии программы. 
"
Локальная сетевая программная защита;"
<br>Сканирование сети исключает одновременный запуск двух программ с одним регистрационным ключом на двух компьютерах в пределах одной локальной сети. 
"
Недостаток локальной сетевой программной защиты;"
<br>Брандмауэр можно настроить так, чтобы он не пропускал пакеты, принадлежащие защищённой программе
"
Глобальная сетевая программная защита;"
<br>Программа работает с каким-то централизованным сервером и без него бесполезна. Может передавать серверу свой серийный номер; если номер неправильный, сервер отказывает в услуге. Недостаток
"
Недостаток глобальной сетевой программной защиты;"
<br>Существует возможность создать сервер, который не делает проверки серийного номера приложения
"
Сетевая программная защита;"
<br>Локальная
<br>Глобальная
"
Методы защиты ПО с помощью компакт-дисков;"
<br>запись информации в неиспользуемых секторах
<br>проверка расположения и содержимого «сбойных» секторов
<br>проверка скорости чтения отдельных секторов
"
Недостаток защиты ПО при помощи компакт-дисков;"
<br>Невысокая надежность такой защиты в связи с широким наборов инструментов снятия образов компакт-дисков
"
Защита ПО при помощи электронных ключей;"
<br>Электронный ключ (донгл), вставленный в один из портов компьютера (с интерфейсом USB, LPT или COM) содержит ключевые данные, называемые также лицензией, записанные в него разработчиком 
"
Привязка к параметрам компьютера и активация;"
<br>В процессе установки программа подсчитывает код активации — контрольное значение, однозначно соответствующее установленным комплектующим компьютера и параметрам установленной ОС. Это значение передаётся разработчику программы. На его основе разработчик генерирует ключ активации, подходящий для активации приложения только на указанной машине (копирование установленных исполняемых файлов на другой компьютер приведёт к неработоспособности программы).
"
Защита программ от копирования путём переноса их в онлайн;"
<br>Другим направлением защиты программ является использование подхода SaaS, то есть предоставление функций этих программ (всех или части), как сервиса. При этом код программы расположен и исполняется на сервере, доступном в глобальной сети.
"
Защита кода от анализа;"
"
 Применение обфускатора;"
"
Обфускатор;"
<br>программа нужн для запутывания кода с целью защиты от его анализа, модификации и несанкционированного использования
"
Методы защиты современного ПО;"
<br>Локальная программная защита
<br>Сетевая программная защита
<br>Защита при помощи компакт-дисков
<br>Защита при помощи электронных ключей
<br>Привязка к параметрам компьютера и активация
<br>Защита программ от копирования путем переноса их в онлайн
<br>Защита кода от анализа
"
Идентификация;"
<br>Процедура распознавания субъекта по его уникальному идентификатору, присвоенному данному субъекту ранее и занесенному в базу данных в момент регистрации субъекта в качестве легального пользователя системы.
"
Аудентификация;"
<br>Процедура проверки подлинности входящего в систему объекта, предъявившего свой идентификатор.
"
Авторизация;"
<br>Процедура предоставления субъекту определенных прав доступа к ресурсам системы после успешного прохождения им процедуры аутентификации. Для каждого субъекта в системе определяется набор прав, которые он может использовать при обращении к её ресурсам.
"
Технологии идентификации;"
<br>Штрих-кодовая идентификация
<br>Радиочастотная идентификация
<br>Биометрическая идентификация
<br>Идентификации на основе карт с магнитной полосой
"
